date	sheila	ifeanyi	amaka	chioma	tunde_b	fatima
2026-09-01	present	present	present	present	leave	present
2026-09-02	present	present	present	present	leave	present
2026-09-03	present	present	present	present	leave	present
2026-09-04	present	present	leave	present	present	present
2026-09-07	present	present	leave	present	present	present
2026-09-08	present	present	leave	present	present	present
2026-09-09	present	present	present	present	present	present
2026-09-10	present	present	present	present	present	present
2026-09-11	present	field	present	present	present	present
2026-09-14	present	field	present	present	present	present
2026-09-15	present	field	present	present	present	leave
2026-09-16	present	field	present	present	present	leave
2026-09-17	present	field	present	present	present	leave
2026-09-18	present	field	present	present	present	present
2026-09-21	present	present	present	present	present	present
2026-09-22	present	present	present	present	present	present
2026-09-23	present	present	present	present	present	present
2026-09-24	present	present	present	present	present	present
2026-09-25	present	present	present	present	present	present
2026-09-28	present	field	present	present	present	present
2026-09-29	present	field	present	present	present	present
2026-09-30	present	field	present	present	present	present
