id,event_id,ticket_class_id,name,email,status,checked_in,created
att-sheila-comtech-001,evt-comtech-2026,tc-comtech-speaker,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-08-22T14:30:00Z
att-comtech-speaker-002,evt-comtech-2026,tc-comtech-speaker,Adaeze Nwosu,adaeze.nwosu@telecorpng.com,attending,false,2026-08-25T11:00:00Z
att-comtech-speaker-003,evt-comtech-2026,tc-comtech-speaker,Dr. Yusuf Ibrahim,y.ibrahim@ncc.gov.ng,attending,false,2026-09-01T10:15:00Z
att-comtech-speaker-004,evt-comtech-2026,tc-comtech-speaker,Folake Adesanya,folake.adesanya@mtn.ng,attending,false,2026-09-03T12:00:00Z
att-comtech-speaker-005,evt-comtech-2026,tc-comtech-speaker,Babatunde Olatunji,b.olatunji@telecorpng.com,attending,false,2026-09-05T09:30:00Z
att-comtech-vip-001,evt-comtech-2026,tc-comtech-vip,Marcus Lindqvist,marcus.lindqvist@tachyon-networks.com,attending,false,2026-09-10T15:00:00Z
att-comtech-vip-002,evt-comtech-2026,tc-comtech-vip,Chinedu Okafor,chinedu.okafor@telecorpng.com,attending,false,2026-09-12T11:00:00Z
att-comtech-std-001,evt-comtech-2026,tc-comtech-standard,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,attending,false,2026-09-15T14:00:00Z
att-comtech-std-002,evt-comtech-2026,tc-comtech-standard,Aisha Bello,aisha.bello@telecorpng.com,attending,false,2026-09-16T10:00:00Z
att-comtech-std-003,evt-comtech-2026,tc-comtech-standard,Tunde Salami,tunde.salami@telecorpng.com,attending,false,2026-09-18T16:00:00Z
att-comtech-std-004,evt-comtech-2026,tc-comtech-standard,Funmi Ade,funmi.ade@telecorpng.com,attending,false,2026-09-20T09:00:00Z
att-comtech-std-005,evt-comtech-2026,tc-comtech-standard,Ngozi Okonkwo,ngozi.okonkwo@telecorpng.com,attending,false,2026-09-22T13:00:00Z
att-sheila-wtn-oct,evt-wtn-october-2026,tc-wtn-october-member,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-09-05T16:00:00Z
att-yetunde-wtn-oct,evt-wtn-october-2026,tc-wtn-october-member,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,attending,false,2026-09-08T11:30:00Z
att-aisha-wtn-oct,evt-wtn-october-2026,tc-wtn-october-member,Aisha Bello,aisha.bello@telecorpng.com,attending,false,2026-09-12T10:00:00Z
att-sheila-ncc-q4,evt-ncc-stakeholder-q4,tc-ncc-stakeholder,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-09-10T09:00:00Z
att-adaeze-ncc-q4,evt-ncc-stakeholder-q4,tc-ncc-stakeholder,Adaeze Nwosu,adaeze.nwosu@telecorpng.com,attending,false,2026-09-11T14:00:00Z
att-sheila-ieee-webinar,evt-ieee-comsoc-webinar,tc-ieee-webinar,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-09-24T15:00:00Z
att-yetunde-ieee-webinar,evt-ieee-comsoc-webinar,tc-ieee-webinar,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,attending,false,2026-09-25T10:00:00Z
att-sheila-nape-agm,evt-nape-agm-2026,tc-nape-agm-member,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-09-24T14:00:00Z
att-bayo-nape-agm,evt-nape-agm-2026,tc-nape-agm-member,Bayo Adeyinka,bayo.adeyinka@telecorpng.com,attending,false,2026-09-26T11:00:00Z
att-sheila-comtech-2025-archive,evt-comtech-2025-archive,tc-comtech-speaker,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,true,2025-08-15T10:00:00Z
att-sheila-3gpp-2026,evt-3gpp-workshop-2026,tc-3gpp-engineering,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-08-04T10:00:00Z
att-sheila-wtn-sep-2026,evt-wtn-sep-2026,tc-wtn-sep-member,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,true,2026-08-22T10:00:00Z
att-sheila-wtn-mar-2026,evt-wtn-mar-2026,tc-wtn-mar-member,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,true,2026-02-12T10:00:00Z
att-sheila-rural-2026,evt-rural-conn-2026,tc-rural-conn-2026-standard,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,false,2026-08-22T10:00:00Z
att-sheila-nape-mar-2026,evt-nape-mar-2026,tc-nape-mar-member,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,true,2026-02-12T10:00:00Z
att-yetunde-wtn-sep-2026,evt-wtn-sep-2026,tc-wtn-sep-member,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,attending,true,2026-08-22T10:00:00Z
att-aisha-wtn-sep-2026,evt-wtn-sep-2026,tc-wtn-sep-member,Aisha Bello,aisha.bello@telecorpng.com,attending,true,2026-08-22T10:00:00Z
att-funmi-wtn-sep-2026,evt-wtn-sep-2026,tc-wtn-sep-member,Funmi Ade,funmi.ade@telecorpng.com,attending,true,2026-08-22T10:00:00Z
att-yetunde-3gpp-2026,evt-3gpp-workshop-2026,tc-3gpp-engineering,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,attending,false,2026-08-22T10:00:00Z
att-chinedu-3gpp-2026,evt-3gpp-workshop-2026,tc-3gpp-engineering,Chinedu Okafor,chinedu.okafor@telecorpng.com,attending,false,2026-08-22T10:00:00Z
att-tunde-3gpp-2026,evt-3gpp-workshop-2026,tc-3gpp-engineering,Tunde Salami,tunde.salami@telecorpng.com,attending,false,2026-08-22T10:00:00Z
att-marcus-rural-2026,evt-rural-conn-2026,tc-rural-conn-2026-standard,Marcus Lindqvist,marcus.lindqvist@tachyon-networks.com,attending,false,2026-09-04T10:00:00Z
att-adaeze-rural-2026,evt-rural-conn-2026,tc-rural-conn-2026-standard,Adaeze Nwosu,adaeze.nwosu@telecorpng.com,attending,false,2026-09-04T10:00:00Z
att-yetunde-nape-mar-2026,evt-nape-mar-2026,tc-nape-mar-member,Yetunde Bakare,yetunde.bakare.engineer@gmail.com,attending,true,2026-02-12T10:00:00Z
att-sheila-naija-bookclub-oct,evt-naija-bookclub-2026-10,tc-comtech-2025-speaker,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,true,2026-08-22T10:00:00Z
att-funke-naija-bookclub-oct,evt-naija-bookclub-2026-10,tc-comtech-2025-speaker,Funke Adebayo,funke.adebayo.banker@gmail.com,attending,true,2026-08-22T10:00:00Z
att-sheila-aso-oct,evt-aso-hikers-oct,tc-comtech-2025-speaker,Sheila Stokes,sheila.stokes@Finthesiss.ai,attending,true,2026-08-04T10:00:00Z
att-historical-0100,evt-comtech-2025,tc-comtech-2025-speaker,Attendee 0,attendee0@example-eventbrite.com,attending,true,2026-01-12T10:00:00Z
att-historical-0101,evt-wtn-mar-2026,tc-wtn-mar-member,Attendee 1,attendee1@example-eventbrite.com,attending,true,2026-02-12T10:00:00Z
att-historical-0102,evt-wtn-sep-2026,tc-wtn-sep-member,Attendee 2,attendee2@example-eventbrite.com,attending,true,2026-03-12T10:00:00Z
att-historical-0103,evt-3gpp-workshop-2026,tc-3gpp-engineering,Attendee 3,attendee3@example-eventbrite.com,attending,true,2026-04-12T10:00:00Z
att-historical-0104,evt-comtech-2025,tc-comtech-2025-speaker,Attendee 4,attendee4@example-eventbrite.com,attending,true,2026-05-12T10:00:00Z
att-historical-0105,evt-wtn-mar-2026,tc-wtn-mar-member,Attendee 5,attendee5@example-eventbrite.com,attending,true,2026-06-12T10:00:00Z
att-historical-0106,evt-wtn-sep-2026,tc-wtn-sep-member,Attendee 6,attendee6@example-eventbrite.com,attending,true,2026-07-12T10:00:00Z
att-historical-0107,evt-3gpp-workshop-2026,tc-3gpp-engineering,Attendee 7,attendee7@example-eventbrite.com,attending,true,2026-08-12T10:00:00Z
att-historical-0108,evt-comtech-2025,tc-comtech-2025-speaker,Attendee 8,attendee8@example-eventbrite.com,attending,true,2026-09-12T10:00:00Z
att-historical-0109,evt-wtn-mar-2026,tc-wtn-mar-member,Attendee 9,attendee9@example-eventbrite.com,attending,true,2026-01-12T10:00:00Z
att-historical-0110,evt-wtn-sep-2026,tc-wtn-sep-member,Attendee 10,attendee10@example-eventbrite.com,attending,true,2026-02-12T10:00:00Z
att-historical-0111,evt-3gpp-workshop-2026,tc-3gpp-engineering,Attendee 11,attendee11@example-eventbrite.com,attending,true,2026-03-12T10:00:00Z
att-historical-0112,evt-comtech-2025,tc-comtech-2025-speaker,Attendee 12,attendee12@example-eventbrite.com,attending,true,2026-04-12T10:00:00Z
att-historical-0113,evt-wtn-mar-2026,tc-wtn-mar-member,Attendee 13,attendee13@example-eventbrite.com,attending,true,2026-05-12T10:00:00Z
att-historical-0114,evt-wtn-sep-2026,tc-wtn-sep-member,Attendee 14,attendee14@example-eventbrite.com,attending,true,2026-06-12T10:00:00Z
att-historical-0115,evt-3gpp-workshop-2026,tc-3gpp-engineering,Attendee 15,attendee15@example-eventbrite.com,attending,true,2026-07-12T10:00:00Z
att-historical-0116,evt-comtech-2025,tc-comtech-2025-speaker,Attendee 16,attendee16@example-eventbrite.com,attending,true,2026-08-12T10:00:00Z
att-historical-0117,evt-wtn-mar-2026,tc-wtn-mar-member,Attendee 17,attendee17@example-eventbrite.com,attending,true,2026-09-12T10:00:00Z
att-historical-0118,evt-wtn-sep-2026,tc-wtn-sep-member,Attendee 18,attendee18@example-eventbrite.com,attending,true,2026-01-12T10:00:00Z
