id,name,email,phone,company_id,active,created_at
ct_sheila,Sheila Stokes,sheila.stokes@Finthesiss.ai,+2348035557300,company_telecorpng,true,2026-04-15T10:00:00Z
ct_bayo,Bayo Adeyinka,bayo.adeyinka@telecorpng.com,+2348035557320,company_telecorpng,true,2026-04-15T10:00:00Z
ct_chinedu,Chinedu Okafor,chinedu.okafor@telecorpng.com,+2348035557316,company_telecorpng,true,2026-04-15T10:00:00Z
ct_tunde,Tunde Salami,tunde.salami@telecorpng.com,+2348035557318,company_telecorpng,true,2026-04-15T10:00:00Z
ct_kabiru,Kabiru Mohammed,kabiru.mohammed@telecorpng.com,+2348035557322,company_telecorpng,true,2026-04-15T10:00:00Z
ct_funmi,Funmi Ade,funmi.ade@telecorpng.com,+2348035557347,ten_telecorpng,true,2024-09-12T10:00:00Z
ct_aisha,Aisha Bello,aisha.bello@telecorpng.com,+2348035557342,ten_telecorpng,true,2024-09-12T10:00:00Z
ct_ngozi,Ngozi Okonkwo,ngozi.okonkwo@telecorpng.com,+2348035557351,ten_telecorpng,true,2024-09-12T10:00:00Z
ct_ifeoma,Ifeoma Olatunji,ifeoma.olatunji@telecorpng.com,+2348035557346,ten_telecorpng,true,2024-09-12T10:00:00Z
ct_tachyon,Tachyon Networks AB,support@tachyon-networks.com,+46855504700,ten_tachyon,true,2024-01-04T10:00:00Z
