wa_id,profile_name,phone_number,opted_in,last_seen
2348035557300,Sheila Stokes,+234 803 555 7300,true,2026-10-02T16:00:00+01:00
2348035557301,Adeyemi (love),+234 803 555 7301,true,2026-10-03T20:00:00+01:00
2348035557304,Baba (Augustine),+234 803 555 7304,true,2026-10-04T07:00:00+01:00
2348035557305,Mama (Folake),+234 803 555 7305,true,2026-10-03T07:00:00+01:00
2348035557306,Adewale (brother),+234 803 555 7306,true,2026-10-04T13:00:00+01:00
2348035557308,Yetunde Bakare,+234 803 555 7308,true,2026-10-03T06:00:00+01:00
2348035557310,Funke Adebayo,+234 803 555 7310,true,2026-10-03T03:00:00+01:00
2348035557311,Mrs. Binta,+234 803 555 7311,true,2026-10-03T02:00:00+01:00
2348035557350,Adunola School,+234 803 555 7350,true,2026-10-02T22:00:00+01:00
2348055559220,Ola (Tachyon),+234 805 555 9220,true,2026-10-03T13:00:00+01:00
2348035557320,Pastor Daniel (HTAC),+234 803 555 7320,true,2026-10-02T22:00:00+01:00
2348035557340,Kemi (Maitama Fitness),+234 803 555 7340,true,2026-10-01T22:00:00+01:00
2348035557322,Lagos driver (Bayo),+234 803 555 7322,true,2026-10-03T14:00:00+01:00
2348035557315,Aero Contractors,+234 803 555 7315,true,2026-10-02T20:00:00+01:00
2348035557316,Air Peace,+234 803 555 7316,true,2026-10-02T09:00:00+01:00
