message_id,conversation_id,direction,from_wa_id,to_wa_id,type,text,template_name,status,sent_at
wamsg_0073,conv_family_stokes,inbound,2348035557304,2348035557300,text,See you,,received,2026-08-06T09:24:00+01:00
wamsg_0093,conv_funke,inbound,2348035557310,2348035557300,text,Driver here,,received,2026-08-06T10:03:00+01:00
wamsg_0061,conv_family_stokes,outbound,2348035557300,2348035557300,text,Got it,,delivered,2026-08-06T17:56:00+01:00
wamsg_0144,conv_brother,inbound,2348035557306,2348035557300,text,Thanks,,received,2026-08-06T20:22:00+01:00
wamsg_0113,conv_binta,outbound,2348035557300,2348035557311,text,Praying for you,,delivered,2026-08-08T10:55:00+01:00
wamsg_0168,conv_vendor,inbound,2348055559220,2348035557300,text,Heading out,,received,2026-08-08T15:58:00+01:00
wamsg_0070,conv_family_stokes,inbound,2348035557304,2348035557300,text,Will do,,received,2026-08-08T19:39:00+01:00
wamsg_0065,conv_family_stokes,inbound,2348035557304,2348035557300,text,Driver here,,received,2026-08-09T19:54:00+01:00
wamsg_0117,conv_binta,outbound,2348035557300,2348035557311,text,Will check,,delivered,2026-08-10T10:27:00+01:00
wamsg_0090,conv_funke,inbound,2348035557310,2348035557300,text,Bless,,received,2026-08-10T12:12:00+01:00
wamsg_0069,conv_family_stokes,inbound,2348035557306,2348035557300,text,Driver here,,received,2026-08-10T12:34:00+01:00
wamsg_0075,conv_family_stokes,inbound,2348035557301,2348035557300,text,See you,,received,2026-08-10T13:07:00+01:00
wamsg_0154,conv_yetunde,inbound,2348035557308,2348035557300,text,Reached safely,,received,2026-08-10T16:25:00+01:00
wamsg_0131,conv_mum,inbound,2348035557305,2348035557300,text,Praying for you,,received,2026-08-11T08:22:00+01:00
wamsg_0142,conv_brother,outbound,2348035557300,2348035557306,text,OK,,delivered,2026-08-12T11:51:00+01:00
wamsg_0127,conv_mum,inbound,2348035557305,2348035557300,text,Bless,,received,2026-08-12T19:47:00+01:00
wamsg_0157,conv_school,outbound,2348035557300,2348035557350,text,Thanks,,delivered,2026-08-13T12:03:00+01:00
wamsg_0110,conv_binta,outbound,2348035557300,2348035557311,text,Reached safely,,delivered,2026-08-13T19:02:00+01:00
wamsg_0078,conv_family_stokes,inbound,2348035557305,2348035557300,text,Will do,,received,2026-08-14T08:58:00+01:00
