id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-001,buncombe-heritage_shifts@group.calendar.google.com,Asheville Through the Decades Exhibit Reception,Public reception for the photography exhibit. Reception 6-9 PM. Kayla heading vendor coordination.,"185 Bramble Knoll Lane, Asheville, NC 28801",2026-05-21T18:00:00-04:00,2026-05-21T21:00:00-04:00,false,confirmed,frances.dillard@buncombeheritage.org,frances.dillard@buncombeheritage.org,,default
evt-002,buncombe-heritage_shifts@group.calendar.google.com,Reception setup and vendor arrivals,Catering 4 PM drop-off; A/V pickup 2 PM and on-site setup; linens already on premises; print delivery completed earlier in week.,"185 Bramble Knoll Lane, Asheville, NC 28801",2026-05-21T14:00:00-04:00,2026-05-21T17:30:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,default
evt-003,buncombe-heritage_shifts@group.calendar.google.com,Ridge Print delivery - exhibit panels and programs,Delivery window. Coordinate placement of panels with Frances.,"185 Bramble Knoll Lane, Asheville, NC 28801",2026-05-18T09:00:00-04:00,2026-05-18T12:00:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,default
evt-004,buncombe-heritage_shifts@group.calendar.google.com,Mountain Linens pickup,Pick up tablecloths and napkins for reception. Pre-paid order #2647.,"78 Coxe Ave, Asheville, NC 28801",2026-05-20T10:30:00-04:00,2026-05-20T11:30:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,default
evt-005,buncombe-heritage_shifts@group.calendar.google.com,Walkthrough with Frances,Final reception walkthrough.,"185 Bramble Knoll Lane, Asheville, NC 28801",2026-05-20T14:00:00-04:00,2026-05-20T15:00:00-04:00,false,confirmed,frances.dillard@buncombeheritage.org,frances.dillard@buncombeheritage.org,,default
evt-006,buncombe-heritage_shifts@group.calendar.google.com,Volunteer shift - Caldwell letter transcription,Regular Tue/Thu shift.,"185 Bramble Knoll Lane, Asheville, NC 28801",2026-05-07T10:00:00-04:00,2026-05-07T14:00:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,"RRULE:FREQ=WEEKLY;BYDAY=TU,TH;UNTIL=20260801T000000Z",default
evt-007,kayla.morgan@gmail.com,Linda out - Spartanburg,Linda traveling to care for Vivian. Back June 7 at earliest.,Spartanburg SC,2026-05-25,2026-06-08,true,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,private
evt-008,buncombe-heritage_shifts@group.calendar.google.com,Society Board Meeting - May books closed,Board reviews May P&L and reimbursements.,"185 Bramble Knoll Lane, Asheville, NC 28801",2026-06-04T18:00:00-04:00,2026-06-04T20:00:00-04:00,false,confirmed,frances.dillard@buncombeheritage.org,frances.dillard@buncombeheritage.org,,default
evt-009,kayla.morgan@gmail.com,Walk with Dorothy,Mon/Fri morning walk.,Laurel Hollow neighborhood,2026-05-04T08:30:00-04:00,2026-05-04T09:15:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,"RRULE:FREQ=WEEKLY;BYDAY=MO,FR;UNTIL=20260801T000000Z",private
evt-010,kayla.morgan@gmail.com,Book club - The Ministry of Time,Dorothy hosting. May selection: 'The Ministry of Time' by Kaliane Bradley.,"Dorothy Ainsworth's, Birchwood Court",2026-05-14T14:00:00-04:00,2026-05-14T16:00:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,private
evt-011,family@group.calendar.google.com,Helen & Kenji visit,Five-day visit. Guest room ready.,12 Laurel Hollow Lane Asheville,2026-06-07,2026-06-12,true,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,private
evt-012,kayla.morgan@gmail.com,Grocery run + farmers market,Weekly.,"Asheville City Market",2026-05-09T09:00:00-04:00,2026-05-09T10:30:00-04:00,false,confirmed,kayla.morgan@gmail.com,kayla.morgan@gmail.com,,private
